S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,S_FA_ROE,Skewness20,WVAD,S_VAL_PS,NET_ASSETS_TODAY,TOT_CUR_LIAB
000100.SZ,2017-09-06,3.58,8.049,-0.603154324802619,-61172.18633333716,0.4107,23664805000.0,73630125481.0
000100.SZ,2017-09-28,3.61,8.049,-0.0467756165907698,603470.236190475,0.4141,23664805000.0,73630125481.0
000100.SZ,2017-09-29,3.56,8.049,0.0886629377403185,24193.240476186824,0.4084,23664805000.0,73630125481.0
000100.SZ,2017-10-09,3.72,8.049,1.4845603008979789,1964780.102142861,0.4267,23664805000.0,73630125481.0
000100.SZ,2017-10-10,3.74,8.049,1.4880517374431077,3073072.7396428613,0.429,23664805000.0,73630125481.0
000100.SZ,2017-10-11,3.69,8.049,1.4175330848440215,2033235.6446428571,0.4233,23664805000.0,73630125481.0
000100.SZ,2017-10-12,3.68,8.049,1.4390606572352596,2033235.6446428571,0.4221,23664805000.0,73630125481.0
000100.SZ,2017-10-13,3.76,8.049,1.1504909746344028,3004327.8328095297,0.4313,23664805000.0,73630125481.0
000100.SZ,2017-10-16,3.88,8.049,0.901449833000933,5434775.220666677,0.4451,23664805000.0,73630125481.0
000100.SZ,2017-10-17,4.01,8.049,0.681144776194253,6519666.656000004,0.46,23664805000.0,73630125481.0
000100.SZ,2017-10-18,4.21,8.049,0.6641270207004464,9033888.656526323,0.4829,23664805000.0,73630125481.0
000100.SZ,2017-10-19,4.16,8.049,0.6672775400045637,8826498.361526327,0.4772,23664805000.0,73630125481.0
000100.SZ,2017-10-20,4.09,8.049,0.6494025729510308,7903043.684603249,0.4692,23664805000.0,73630125481.0
000100.SZ,2017-10-23,4.34,8.049,0.6614772934246996,9814069.27460325,0.4978,23664805000.0,73630125481.0
000100.SZ,2017-10-24,4.27,8.049,0.6584874944708942,6418391.049603233,0.4898,23664805000.0,73630125481.0
000100.SZ,2017-10-25,4.4,8.049,0.4686459959109286,6226762.847603241,0.5047,23664805000.0,73630125481.0
000100.SZ,2017-10-26,4.42,8.049,0.5482345375227492,3267720.4859658014,0.507,24597430425.0,73630125481.0
000100.SZ,2017-10-27,4.46,8.049,0.5240180757817955,4773407.763165802,0.5116,24597430425.0,73630125481.0
000100.SZ,2017-10-30,4.4,5.3448,0.5436202464031976,4825929.02508888,0.5047,24597430425.0,70975709000.0
000100.SZ,2017-10-31,4.34,5.3448,0.6079062127238736,1290379.4410888772,0.4978,24597430425.0,70975709000.0
000100.SZ,2017-11-01,4.21,5.3448,0.4776118977244468,487619.416383008,0.4829,24597430425.0,70975709000.0
000100.SZ,2017-11-02,4.22,5.3448,0.5886041382574826,-1618393.916117003,0.4841,24597430425.0,70975709000.0
000100.SZ,2017-11-03,4.28,5.3448,0.4784466179962438,-923393.183672543,0.491,24597430425.0,70975709000.0
000100.SZ,2017-11-06,4.68,5.3448,1.0962387670106826,3350767.1230405024,0.5368,24597430425.0,70975709000.0
000100.SZ,2017-11-07,4.8,5.3448,0.9817015271861064,6283363.23137383,0.5506,24597430425.0,70975709000.0
